"141000,1404"
"Seven of Diamonds | Five of Clubs,1263,118"
"Ace of Spades | Eight of Spades,838,102"
"Jack of Hearts | Three of Spades,831,58"
"Ace of Spades | Ten of Spades,834,127"
"Ten of Clubs | Ten of Diamonds,606,103"
"Seven of Hearts | Four of Hearts,843,80"
"Six of Clubs | Three of Hearts,1222,99"
"King of Clubs | Six of Diamonds,1236,149"
"Jack of Spades | Five of Hearts,824,65"
"Queen of Diamonds | Nine of Diamonds,855,123"
"Ten of Spades | Eight of Spades,806,104"
"King of Clubs | Ten of Clubs,1994,532"
"Jack of Hearts | Two of Clubs,1261,77"
"Ace of Diamonds | Five of Hearts,866,89"
"Four of Hearts | Three of Diamonds,825,63"
"Eight of Diamonds | Five of Hearts,857,75"
"Jack of Hearts | Seven of Diamonds,803,69"
"Jack of Hearts | Two of Hearts,841,93"
"Six of Diamonds | Two of Spades,823,48"
"Eight of Hearts | Five of Clubs,1270,90"
"Ten of Spades | Eight of Hearts,861,75"
"Four of Hearts | Four of Diamonds,413,50"
"Nine of Spades | Three of Diamonds,842,48"
"Ten of Hearts | Seven of Clubs,1237,135"
"Three of Spades | Three of Hearts,385,56"
"Nine of Hearts | Seven of Hearts,867,89"
"King of Clubs | Jack of Clubs,1930,519"
"Two of Spades | Two of Hearts,428,56"
"King of Diamonds | Ten of Clubs,1214,166"
"Ace of Hearts | Seven of Diamonds,833,104"
"Queen of Spades | Six of Clubs,1252,113"
"Eight of Clubs | Five of Spades,1225,112"
"Queen of Clubs | Six of Diamonds,1243,130"
"Ace of Hearts | Six of Spades,827,94"
"Jack of Clubs | Eight of Hearts,1235,138"
"Three of Spades | Two of Diamonds,834,53"
"Ten of Clubs | Five of Hearts,1237,107"
"Four of Hearts | Two of Hearts,833,80"
"Ace of Diamonds | Nine of Clubs,1271,162"
"Ten of Diamonds | Four of Spades,843,59"
"Five of Diamonds | Three of Hearts,838,72"
"Queen of Hearts | Seven of Clubs,1283,106"
"Queen of Hearts | Nine of Clubs,1276,164"
"Two of Clubs | Two of Spades,603,45"
"Queen of Spades | Queen of Clubs,611,118"
"Jack of Spades | Two of Clubs,1247,86"
"Jack of Diamonds | Four of Spades,872,69"
"Ace of Spades | Four of Diamonds,851,95"
"Four of Clubs | Two of Hearts,1280,77"
"Three of Hearts | Three of Clubs,596,59"
"Queen of Clubs | Five of Spades,1295,119"
"King of Hearts | King of Spades,439,110"
"Nine of Spades | Five of Diamonds,835,66"
"Seven of Hearts | Two of Clubs,1281,69"
"Jack of Clubs | Seven of Clubs,2016,411"
"Ten of Clubs | Two of Diamonds,1317,91"
"Ten of Hearts | Five of Clubs,1220,90"
"King of Hearts | Four of Spades,855,76"
"Ten of Hearts | Two of Diamonds,792,47"
"Seven of Diamonds | Three of Spades,839,61"
"Four of Hearts | Two of Spades,807,54"
"Ten of Clubs | Three of Clubs,1883,275"
"Ten of Hearts | Five of Diamonds,815,70"
"King of Clubs | Three of Diamonds,1204,149"
"Eight of Diamonds | Seven of Diamonds,853,86"
"King of Spades | Jack of Clubs,1237,163"
"Seven of Diamonds | Four of Hearts,817,78"
"King of Diamonds | Five of Diamonds,858,104"
"Ace of Hearts | King of Diamonds,827,142"
"Seven of Spades | Five of Hearts,846,66"
"Eight of Clubs | Six of Hearts,1249,118"
"Six of Clubs | Six of Hearts,699,72"
"Queen of Diamonds | Three of Spades,781,74"
"Ten of Clubs | Nine of Spades,1241,139"
"King of Spades | Three of Clubs,1232,106"
"King of Clubs | Seven of Diamonds,1244,143"
"Ace of Spades | Jack of Spades,875,131"
"Five of Clubs | Four of Diamonds,1312,130"
"Nine of Clubs | Two of Spades,1248,80"
"Jack of Diamonds | Five of Clubs,1209,88"
"Ace of Diamonds | Jack of Diamonds,799,115"
"Eight of Hearts | Eight of Spades,394,54"
"Jack of Clubs | Five of Hearts,1338,129"
"Nine of Hearts | Five of Hearts,829,84"
"Queen of Hearts | Six of Diamonds,856,79"
"Queen of Spades | Ten of Hearts,890,123"
"Two of Diamonds | Two of Spades,439,57"
"Ace of Hearts | Ace of Diamonds,420,134"
"Queen of Spades | Two of Clubs,1300,86"
"King of Hearts | Two of Spades,850,63"
"Ace of Clubs | Two of Diamonds,1321,159"
"Eight of Spades | Five of Diamonds,862,67"
"Six of Hearts | Five of Diamonds,817,70"
"Ten of Clubs | Eight of Clubs,1892,394"
"Seven of Hearts | Four of Clubs,1279,94"
"Seven of Diamonds | Four of Diamonds,799,80"
"Ace of Diamonds | Eight of Clubs,1332,149"
"Ace of Spades | Nine of Spades,792,94"
"Ace of Spades | Six of Hearts,860,105"
"Ace of Hearts | Ten of Spades,822,112"
"Ace of Diamonds | Nine of Spades,809,106"
"King of Diamonds | Nine of Diamonds,816,96"
"King of Diamonds | Six of Hearts,770,53"
"Nine of Clubs | Three of Spades,1305,82"
"King of Diamonds | Four of Spades,847,61"
"Six of Diamonds | Five of Spades,860,79"
"Queen of Spades | Eight of Diamonds,830,79"
"Ace of Hearts | Eight of Spades,843,87"
"Ten of Spades | Six of Clubs,1304,106"
"Eight of Hearts | Four of Hearts,874,94"
"King of Spades | Four of Spades,809,99"
"Ten of Hearts | Eight of Spades,807,88"
"Ace of Clubs | Four of Clubs,1991,503"
"Queen of Spades | Eight of Clubs,1269,117"
"Queen of Diamonds | Three of Hearts,872,57"
"Eight of Diamonds | Five of Spades,812,74"
"Eight of Spades | Four of Spades,881,72"
"Ten of Diamonds | Six of Hearts,853,75"
"Ten of Spades | Six of Spades,749,81"
"King of Diamonds | Four of Diamonds,840,92"
"Ten of Spades | Nine of Spades,808,109"
"Jack of Clubs | Two of Hearts,1257,105"
"Ace of Clubs | Seven of Clubs,1889,470"
"Eight of Clubs | Six of Spades,1231,128"
"Four of Spades | Two of Diamonds,834,73"
"Nine of Spades | Five of Spades,850,100"
"Queen of Spades | Three of Hearts,874,60"
"Seven of Diamonds | Five of Hearts,786,77"
"Queen of Spades | Queen of Diamonds,402,88"
"Four of Clubs | Three of Clubs,1927,265"
"Jack of Clubs | Nine of Clubs,1984,443"
"Nine of Clubs | Two of Clubs,1943,316"
"Queen of Clubs | Four of Clubs,1949,399"
"Ace of Diamonds | Jack of Hearts,831,120"
"Eight of Spades | Two of Clubs,1262,69"
"Eight of Clubs | Seven of Diamonds,1250,125"
"Ace of Hearts | King of Spades,847,147"
"Queen of Clubs | Nine of Clubs,1909,429"
"Seven of Hearts | Seven of Clubs,610,64"
"King of Diamonds | Nine of Clubs,1202,131"
"King of Clubs | Nine of Clubs,1898,471"
"Ten of Spades | Two of Spades,879,61"
"Jack of Hearts | Seven of Spades,805,85"
"Five of Clubs | Three of Spades,1220,91"
"Ace of Clubs | Ace of Hearts,649,211"
"Five of Hearts | Five of Spades,424,57"
"Queen of Clubs | Five of Hearts,1275,115"
"King of Hearts | Eight of Spades,781,78"
"Ace of Clubs | Five of Hearts,1228,202"
"Jack of Spades | Six of Spades,799,86"
"Ace of Diamonds | King of Diamonds,833,157"
"Seven of Hearts | Six of Diamonds,899,81"
"Ace of Clubs | Queen of Clubs,2037,547"
"Queen of Spades | Ten of Spades,820,114"
"Three of Diamonds | Two of Diamonds,829,62"
"Queen of Hearts | Two of Spades,838,54"
"Ten of Diamonds | Seven of Clubs,1294,113"
"Eight of Spades | Four of Diamonds,821,45"
"Queen of Clubs | Seven of Diamonds,1294,131"
"Seven of Hearts | Two of Hearts,816,68"
"Ten of Spades | Eight of Diamonds,818,69"
"Five of Spades | Two of Clubs,1256,88"
"King of Clubs | Three of Hearts,1239,128"
"Four of Diamonds | Three of Spades,830,61"
"Three of Diamonds | Three of Spades,408,57"
"Jack of Spades | Jack of Clubs,624,125"
"Jack of Clubs | Nine of Spades,1263,153"
"Eight of Spades | Five of Hearts,834,62"
"Three of Clubs | Three of Spades,612,60"
"Five of Diamonds | Two of Spades,762,51"
"Seven of Spades | Five of Clubs,1208,96"
"King of Clubs | Six of Clubs,1963,419"
"Three of Hearts | Two of Diamonds,815,58"
"Ten of Spades | Six of Diamonds,783,64"
"Ten of Spades | Seven of Diamonds,830,95"
"Jack of Diamonds | Ten of Diamonds,914,143"
"Jack of Diamonds | Five of Spades,882,77"
"Seven of Spades | Five of Spades,830,85"
"Queen of Diamonds | Two of Spades,826,66"
"King of Clubs | King of Diamonds,645,144"
"King of Diamonds | King of Spades,409,118"
"Queen of Spades | Jack of Spades,829,132"
"Ace of Spades | Two of Clubs,1235,118"
"Queen of Diamonds | Nine of Spades,845,87"
"Jack of Clubs | Jack of Hearts,603,105"
"Two of Diamonds | Two of Clubs,610,62"
"Six of Spades | Five of Diamonds,852,71"
"Nine of Hearts | Seven of Clubs,1248,105"
"King of Clubs | Eight of Clubs,1932,472"
"Seven of Spades | Seven of Clubs,614,76"
"Jack of Clubs | Three of Clubs,2018,366"
"Eight of Hearts | Four of Diamonds,828,56"
"Ten of Hearts | Nine of Diamonds,822,97"
"King of Hearts | Jack of Hearts,868,149"
"King of Hearts | Nine of Diamonds,829,114"
"Queen of Hearts | Five of Hearts,805,103"
"Ace of Diamonds | Six of Clubs,1258,122"
"Ace of Clubs | Two of Hearts,1312,162"
"Nine of Clubs | Four of Spades,1242,69"
"Jack of Diamonds | Five of Diamonds,806,83"
"Seven of Hearts | Five of Clubs,1255,109"
"Seven of Diamonds | Six of Hearts,798,78"
"King of Clubs | King of Spades,628,162"
"Nine of Diamonds | Four of Diamonds,818,72"
"Ace of Hearts | Two of Hearts,861,93"
"Three of Clubs | Three of Diamonds,627,72"
"Nine of Hearts | Four of Spades,809,47"
"Eight of Diamonds | Four of Spades,802,53"
"Jack of Hearts | Eight of Spades,853,99"
"Queen of Hearts | Eight of Spades,806,83"
"Five of Spades | Four of Spades,834,93"
"Jack of Spades | Four of Clubs,1259,96"
"Eight of Clubs | Eight of Diamonds,627,79"
"Eight of Hearts | Six of Spades,854,79"
"Queen of Spades | Three of Diamonds,798,60"
"Jack of Diamonds | Ten of Clubs,1322,168"
"Eight of Hearts | Two of Diamonds,843,54"
"Jack of Clubs | Ten of Spades,1233,167"
"Eight of Diamonds | Four of Clubs,1206,93"
"Ace of Hearts | Jack of Clubs,1223,187"
"Queen of Diamonds | Five of Clubs,1218,77"
"Four of Clubs | Three of Hearts,1270,97"
"Eight of Clubs | Five of Hearts,1242,86"
"Six of Spades | Six of Clubs,595,70"
"Ace of Hearts | Nine of Diamonds,866,91"
"Queen of Hearts | Four of Clubs,1270,97"
"Queen of Spades | Three of Spades,827,75"
"Five of Diamonds | Four of Clubs,1273,118"
"Jack of Hearts | Ten of Diamonds,821,109"
"Nine of Diamonds | Three of Hearts,854,72"
"Seven of Spades | Three of Hearts,867,54"
"Eight of Hearts | Two of Clubs,1255,65"
"King of Spades | Ten of Clubs,1282,192"
"Jack of Hearts | Nine of Spades,793,100"
"Eight of Diamonds | Six of Spades,870,74"
"King of Diamonds | Ten of Spades,829,115"
"Ace of Clubs | Six of Diamonds,1211,164"
"Queen of Clubs | Eight of Spades,1307,147"
"Ace of Clubs | Queen of Spades,1281,266"
"Ace of Diamonds | Queen of Diamonds,817,153"
"King of Spades | Eight of Hearts,826,89"
"Nine of Spades | Five of Clubs,1269,97"
"Eight of Diamonds | Six of Clubs,1215,109"
"Nine of Spades | Three of Clubs,1271,75"
"Six of Hearts | Six of Clubs,571,74"
"Seven of Hearts | Five of Spades,820,68"
"Ace of Diamonds | Five of Spades,834,101"
"Ace of Diamonds | Six of Hearts,814,87"
"Four of Clubs | Two of Clubs,1875,273"
"Jack of Clubs | Four of Hearts,1268,103"
"Nine of Clubs | Five of Diamonds,1266,99"
"Ten of Spades | Four of Spades,889,80"
"Four of Diamonds | Two of Hearts,871,56"
"Ace of Diamonds | Eight of Spades,848,78"
"King of Clubs | Queen of Spades,1233,216"
"Queen of Hearts | Two of Hearts,826,87"
"Nine of Clubs | Seven of Clubs,1939,329"
"Ten of Clubs | Five of Spades,1273,113"
"Queen of Clubs | Two of Hearts,1293,120"
"Ten of Clubs | Four of Hearts,1289,101"
"Ace of Spades | Queen of Clubs,1313,210"
"Five of Clubs | Five of Diamonds,622,62"
"Ace of Spades | Five of Diamonds,797,85"
"Nine of Hearts | Six of Clubs,1232,104"
"Jack of Diamonds | Three of Clubs,1309,78"
"King of Diamonds | King of Clubs,623,162"
"Queen of Spades | Nine of Clubs,1282,160"
"King of Spades | Eight of Clubs,1272,117"
"Nine of Clubs | Three of Diamonds,1275,86"
"Queen of Diamonds | Jack of Clubs,1290,176"
"Eight of Diamonds | Seven of Hearts,780,78"
"Nine of Diamonds | Five of Spades,822,66"
"Jack of Clubs | Five of Diamonds,1246,110"
"Seven of Clubs | Four of Clubs,1975,319"
"King of Diamonds | Four of Clubs,1249,108"
"Ten of Clubs | Nine of Hearts,1283,162"
"Jack of Hearts | Six of Clubs,1291,90"
"Seven of Clubs | Seven of Spades,629,75"
"Ten of Clubs | Six of Diamonds,1322,120"
"Eight of Diamonds | Four of Diamonds,796,78"
"Nine of Diamonds | Eight of Diamonds,802,96"
"Eight of Clubs | Three of Hearts,1250,92"
"Eight of Clubs | Five of Clubs,1983,309"
"King of Spades | Queen of Diamonds,829,131"
"Six of Hearts | Six of Spades,406,65"
"Nine of Hearts | Five of Clubs,1229,98"
"Five of Hearts | Three of Hearts,815,73"
"Seven of Hearts | Six of Spades,835,91"
"King of Clubs | Nine of Spades,1263,177"
"Ace of Clubs | Two of Spades,1246,161"
"Eight of Clubs | Four of Spades,1294,92"
"Ten of Clubs | Ten of Hearts,663,102"
"Ten of Hearts | Three of Hearts,798,92"
"Jack of Clubs | Four of Diamonds,1221,104"
"Ten of Hearts | Four of Hearts,835,78"
"Five of Diamonds | Three of Spades,834,61"
"Two of Spades | Two of Clubs,601,56"
"Ten of Clubs | Three of Spades,1276,96"
"King of Clubs | Nine of Diamonds,1246,145"
"Jack of Spades | Four of Spades,798,90"
"Ten of Clubs | Two of Hearts,1224,74"
"Ace of Diamonds | Ace of Hearts,416,119"
"Ace of Diamonds | Five of Diamonds,836,117"
"Ace of Diamonds | Seven of Spades,830,90"
"Ten of Diamonds | Ten of Spades,430,82"
"Queen of Hearts | Five of Spades,838,56"
"King of Clubs | Seven of Clubs,1894,451"
"Ten of Diamonds | Ten of Hearts,411,74"
"King of Clubs | Five of Diamonds,1264,144"
"Eight of Spades | Five of Spades,841,86"
"Ace of Spades | Six of Spades,818,118"
"Eight of Spades | Two of Spades,832,64"
"Jack of Spades | Eight of Diamonds,864,93"
"King of Spades | Seven of Clubs,1252,123"
"Six of Diamonds | Four of Hearts,843,62"
"Eight of Spades | Six of Spades,854,97"
"Eight of Clubs | Four of Diamonds,1183,89"
"Ace of Diamonds | Queen of Hearts,790,117"
"Jack of Diamonds | Eight of Hearts,798,77"
"Ten of Spades | Two of Clubs,1261,91"
"Ten of Clubs | Four of Diamonds,1253,112"
"Eight of Diamonds | Eight of Clubs,637,71"
"Six of Hearts | Four of Hearts,825,80"
"Ten of Hearts | Ten of Spades,390,70"
"Queen of Clubs | Jack of Spades,1239,189"
"King of Spades | Five of Hearts,883,88"
"Eight of Diamonds | Three of Diamonds,855,78"
"Queen of Diamonds | Six of Diamonds,840,86"
"Ten of Diamonds | Eight of Spades,819,82"
"Nine of Hearts | Six of Diamonds,882,75"
"Three of Clubs | Two of Hearts,1268,66"
"Queen of Hearts | Nine of Hearts,816,128"
"King of Diamonds | Two of Diamonds,798,85"
"Ace of Spades | Nine of Hearts,881,100"
"Jack of Diamonds | Ten of Spades,791,107"
"Ten of Diamonds | Three of Hearts,822,62"
"Queen of Spades | Ten of Clubs,1296,170"
"Seven of Diamonds | Seven of Spades,412,57"
"Six of Spades | Five of Spades,799,85"
"Five of Hearts | Five of Clubs,602,68"
"Eight of Diamonds | Eight of Spades,417,67"
"Jack of Clubs | Nine of Hearts,1232,136"
"Nine of Hearts | Two of Spades,809,45"
"Two of Clubs | Two of Hearts,616,75"
"Jack of Clubs | Three of Diamonds,1283,106"
"King of Spades | Four of Diamonds,861,83"
"Eight of Hearts | Two of Spades,819,52"
"Nine of Spades | Nine of Diamonds,433,73"
"Ace of Clubs | Seven of Hearts,1263,191"
"Ten of Diamonds | Three of Clubs,1253,72"
"Six of Diamonds | Five of Clubs,1261,104"
"Nine of Clubs | Two of Hearts,1291,74"
"Ten of Spades | Ten of Diamonds,427,62"
"Seven of Clubs | Six of Spades,1257,99"
"Seven of Spades | Three of Diamonds,845,55"
"Five of Clubs | Three of Clubs,1896,296"
"Seven of Spades | Four of Clubs,1233,82"
"Six of Clubs | Four of Clubs,1932,320"
"Seven of Spades | Four of Diamonds,883,61"
"Jack of Hearts | Jack of Clubs,592,104"
"Nine of Spades | Nine of Hearts,392,70"
"King of Diamonds | Six of Spades,820,82"
"Eight of Spades | Five of Clubs,1197,95"
"Jack of Spades | Ten of Hearts,848,128"
"Nine of Diamonds | Seven of Diamonds,763,85"
"Nine of Spades | Two of Clubs,1227,83"
"Queen of Spades | Seven of Diamonds,790,81"
"Ace of Spades | Two of Hearts,832,71"
"Ace of Spades | Three of Diamonds,810,82"
"Queen of Hearts | Jack of Diamonds,821,98"
"Four of Diamonds | Three of Hearts,842,66"
"Seven of Diamonds | Three of Hearts,818,59"
"Ace of Clubs | Nine of Spades,1286,202"
"Ten of Spades | Seven of Spades,823,93"
"Queen of Spades | Nine of Spades,849,130"
"Eight of Diamonds | Two of Hearts,819,57"
"Ace of Spades | Three of Hearts,811,67"
"Eight of Hearts | Four of Spades,831,60"
"Six of Diamonds | Three of Hearts,818,63"
"Six of Clubs | Two of Hearts,1272,89"
"Seven of Clubs | Four of Hearts,1291,106"
"Queen of Hearts | Ten of Spades,851,101"
"Seven of Clubs | Four of Spades,1293,89"
"King of Clubs | Two of Hearts,1274,155"
"Queen of Diamonds | Five of Spades,880,85"
"Nine of Diamonds | Six of Hearts,859,91"
"King of Hearts | Ten of Diamonds,868,115"
"Nine of Spades | Eight of Spades,851,104"
"Seven of Clubs | Six of Clubs,1967,349"
"Nine of Clubs | Six of Spades,1254,98"
"Ace of Hearts | King of Clubs,1319,265"
"King of Hearts | Seven of Hearts,825,94"
"Six of Spades | Two of Clubs,1254,58"
"King of Hearts | Three of Hearts,813,91"
"Jack of Hearts | Four of Diamonds,856,62"
"Ace of Spades | Two of Diamonds,857,83"
"King of Clubs | Jack of Diamonds,1337,203"
"Jack of Hearts | Four of Hearts,814,92"
"Nine of Hearts | Three of Spades,836,61"
"Seven of Diamonds | Three of Clubs,1302,75"
"King of Clubs | Nine of Hearts,1259,166"
"Queen of Diamonds | Eight of Spades,853,101"
"Jack of Clubs | Ten of Clubs,1850,430"
"Queen of Clubs | Five of Diamonds,1274,141"
"King of Clubs | Five of Clubs,1989,421"
"King of Spades | Jack of Hearts,853,132"
"Five of Hearts | Four of Spades,850,81"
"Jack of Hearts | Five of Spades,842,60"
"Four of Spades | Three of Clubs,1307,93"
"King of Clubs | Three of Spades,1260,142"
"Jack of Spades | Seven of Clubs,1216,108"
"Five of Diamonds | Five of Clubs,616,55"
"Ace of Clubs | Seven of Diamonds,1278,182"
"King of Diamonds | Queen of Diamonds,831,147"
"Queen of Hearts | Nine of Spades,810,79"
"King of Spades | Queen of Clubs,1284,232"
"Nine of Spades | Three of Spades,862,66"
"Nine of Diamonds | Two of Diamonds,861,56"
"Four of Diamonds | Three of Diamonds,809,83"
"Jack of Spades | Three of Clubs,1218,75"
"Jack of Spades | Ten of Clubs,1288,183"
"Ace of Hearts | Three of Diamonds,852,106"
"King of Spades | Seven of Hearts,736,74"
"Seven of Hearts | Three of Clubs,1281,62"
"Queen of Clubs | Queen of Hearts,618,122"
"Six of Hearts | Two of Clubs,1264,83"
"Queen of Clubs | Ten of Spades,1242,179"
"Ace of Hearts | Five of Spades,851,105"
"Seven of Diamonds | Seven of Hearts,436,74"
"Ten of Clubs | Nine of Clubs,1855,422"
"Ace of Spades | Eight of Diamonds,874,82"
"Jack of Spades | Nine of Diamonds,860,107"
"King of Hearts | Queen of Diamonds,812,115"
"Queen of Hearts | Ten of Hearts,849,130"
"Ace of Clubs | Queen of Diamonds,1230,247"
"Ace of Hearts | Six of Diamonds,839,84"
"Six of Clubs | Six of Diamonds,664,80"
"Ten of Hearts | Eight of Hearts,856,88"
"Ace of Clubs | Eight of Spades,1275,194"
"Ten of Hearts | Nine of Spades,799,90"
"King of Hearts | Six of Clubs,1241,121"
"Ace of Clubs | Six of Clubs,1910,490"
"Ten of Spades | Four of Hearts,844,68"
"Five of Diamonds | Two of Hearts,847,65"
"King of Clubs | King of Hearts,697,165"
"Jack of Diamonds | Six of Diamonds,845,88"
"Ace of Diamonds | Three of Diamonds,808,106"
"Eight of Diamonds | Seven of Spades,833,83"
"Seven of Spades | Seven of Hearts,406,65"
"Eight of Diamonds | Three of Spades,900,53"
"Queen of Diamonds | Eight of Clubs,1223,135"
"Jack of Spades | Jack of Hearts,417,87"
"Five of Diamonds | Two of Clubs,1303,98"
"Ten of Clubs | Seven of Diamonds,1211,100"
"Three of Spades | Three of Diamonds,375,56"
"Ace of Hearts | Six of Hearts,858,101"
"Six of Diamonds | Three of Spades,865,63"
"Six of Clubs | Five of Diamonds,1301,109"
"Five of Hearts | Four of Hearts,820,91"
"Nine of Hearts | Eight of Spades,858,91"
"Ten of Spades | Ten of Clubs,621,102"
"Six of Clubs | Three of Diamonds,1322,107"
"Ace of Clubs | Ten of Spades,1303,240"
"Queen of Hearts | Three of Hearts,835,88"
"Queen of Clubs | Four of Diamonds,1257,126"
"King of Diamonds | Two of Spades,816,78"
"Ace of Clubs | Eight of Hearts,1255,185"
"Ace of Clubs | Nine of Diamonds,1216,183"
"Ace of Clubs | Three of Diamonds,1197,179"
"Eight of Diamonds | Three of Hearts,886,61"
"Eight of Hearts | Eight of Diamonds,400,47"
"Ten of Spades | Seven of Hearts,867,69"
"Queen of Clubs | Three of Spades,1255,108"
"Jack of Hearts | Jack of Diamonds,434,81"
"Eight of Spades | Three of Spades,781,58"
"Ace of Clubs | Three of Hearts,1278,194"
"King of Hearts | Seven of Clubs,1279,134"
"Seven of Hearts | Two of Diamonds,870,60"
"Six of Diamonds | Three of Diamonds,847,80"
"Six of Hearts | Five of Clubs,1309,92"
"Eight of Hearts | Six of Diamonds,835,77"
"Queen of Hearts | Queen of Spades,448,88"
"Five of Spades | Four of Diamonds,870,103"
"Nine of Hearts | Eight of Diamonds,838,91"
"Ace of Hearts | Ace of Clubs,579,198"
"Ten of Spades | Three of Diamonds,830,53"
"Queen of Clubs | Nine of Diamonds,1312,170"
"Ace of Diamonds | Four of Spades,795,79"
"Ten of Spades | Four of Clubs,1283,83"
"Four of Diamonds | Two of Spades,841,63"
"Queen of Clubs | Three of Hearts,1241,112"
"Five of Clubs | Two of Spades,1283,84"
"Queen of Diamonds | Two of Diamonds,825,79"
"Ace of Diamonds | Four of Clubs,1198,108"
"Nine of Diamonds | Seven of Hearts,862,87"
"Four of Spades | Four of Diamonds,407,53"
"King of Hearts | Jack of Clubs,1252,180"
"Six of Clubs | Three of Spades,1211,75"
"Four of Diamonds | Four of Clubs,645,74"
"King of Spades | Five of Diamonds,825,77"
"Five of Spades | Three of Diamonds,823,65"
"Ace of Clubs | Six of Spades,1285,170"
"Ten of Clubs | Six of Hearts,1280,132"
"Ten of Clubs | Seven of Hearts,1257,133"
"King of Spades | Nine of Spades,842,118"
"King of Spades | Queen of Hearts,819,107"
"Ten of Hearts | Seven of Spades,810,82"
"Queen of Clubs | Four of Spades,1221,135"
"Queen of Spades | Seven of Clubs,1236,113"
"Eight of Hearts | Five of Diamonds,810,54"
"Ace of Spades | Two of Spades,902,90"
"Seven of Diamonds | Four of Spades,839,62"
"Jack of Diamonds | Nine of Diamonds,872,110"
"Eight of Spades | Eight of Diamonds,433,74"
"Queen of Hearts | Six of Spades,840,64"
"Nine of Clubs | Eight of Clubs,1926,377"
"Jack of Spades | Seven of Diamonds,838,72"
"Queen of Clubs | Two of Clubs,1956,402"
"Six of Hearts | Two of Spades,855,60"
"King of Hearts | Queen of Clubs,1281,217"
"Four of Spades | Two of Clubs,1319,85"
"Queen of Spades | Eight of Spades,840,91"
"King of Diamonds | Ten of Diamonds,840,133"
"King of Spades | King of Hearts,441,122"
"Seven of Hearts | Two of Spades,854,40"
"Queen of Spades | Four of Diamonds,790,61"
"King of Diamonds | Six of Diamonds,855,107"
"Jack of Clubs | Six of Spades,1254,124"
"Nine of Spades | Six of Hearts,837,64"
"Queen of Hearts | Four of Diamonds,825,74"
"Five of Clubs | Five of Spades,616,65"
"Six of Clubs | Two of Diamonds,1211,74"
"Queen of Hearts | Ten of Diamonds,783,115"
"Five of Spades | Two of Diamonds,888,50"
"Six of Hearts | Three of Clubs,1280,89"
"Ten of Spades | Six of Hearts,827,83"
"Eight of Hearts | Four of Clubs,1256,96"
"King of Spades | Seven of Spades,767,95"
"Ten of Hearts | Nine of Hearts,785,125"
"King of Spades | Three of Spades,904,97"
"King of Hearts | Queen of Spades,807,126"
"Nine of Spades | Nine of Clubs,597,90"
"Ten of Spades | Nine of Hearts,781,87"
"Seven of Spades | Three of Clubs,1306,85"
"Queen of Hearts | Ten of Clubs,1181,163"
"Ten of Diamonds | Nine of Spades,863,106"
"Two of Clubs | Two of Diamonds,659,64"
"Ace of Diamonds | Five of Clubs,1223,121"
"Ace of Spades | King of Diamonds,826,153"
"Ten of Diamonds | Seven of Hearts,826,80"
"Five of Spades | Five of Hearts,446,70"
"Nine of Spades | Eight of Clubs,1308,124"
"Ace of Spades | Four of Clubs,1232,141"
"King of Hearts | Ten of Clubs,1256,176"
"Jack of Spades | Two of Diamonds,780,56"
"Ten of Diamonds | Nine of Hearts,807,90"
"Eight of Spades | Four of Hearts,882,69"
"Two of Hearts | Two of Spades,383,55"
"Four of Spades | Two of Hearts,844,54"
"Nine of Spades | Five of Hearts,843,54"
"Queen of Hearts | Three of Clubs,1288,98"
"Seven of Clubs | Five of Spades,1280,117"
"King of Diamonds | Jack of Spades,831,123"
"Ace of Spades | Queen of Diamonds,872,133"
"Seven of Diamonds | Two of Spades,867,52"
"Queen of Spades | Five of Spades,818,90"
"Ace of Diamonds | Eight of Hearts,847,101"
"Queen of Diamonds | Nine of Clubs,1288,148"
"Queen of Diamonds | Seven of Clubs,1223,100"
"Eight of Diamonds | Two of Diamonds,869,77"
"Two of Spades | Two of Diamonds,408,44"
"Queen of Hearts | Three of Diamonds,797,65"
"Jack of Spades | Seven of Spades,804,90"
"Jack of Clubs | Eight of Diamonds,1250,150"
"King of Diamonds | Nine of Spades,809,84"
"Five of Diamonds | Five of Spades,426,63"
"Seven of Spades | Four of Spades,837,82"
"Nine of Spades | Eight of Diamonds,843,95"
"King of Spades | Six of Spades,841,108"
"Jack of Hearts | Five of Hearts,815,88"
"Jack of Spades | Three of Diamonds,810,56"
"Ace of Hearts | Seven of Hearts,861,110"
"Seven of Diamonds | Five of Diamonds,829,89"
"Five of Hearts | Four of Clubs,1291,98"
"Ten of Hearts | Six of Hearts,852,90"
"Ten of Hearts | Six of Clubs,1264,85"
"Ten of Hearts | Five of Spades,839,68"
"Queen of Clubs | Jack of Hearts,1281,215"
"Six of Clubs | Three of Clubs,1897,288"
"Queen of Spades | Five of Clubs,1230,93"
"Four of Hearts | Three of Clubs,1281,82"
"Eight of Spades | Three of Clubs,1281,77"
"Jack of Diamonds | Seven of Diamonds,809,86"
"Jack of Clubs | Two of Clubs,1866,315"
"Ten of Clubs | Two of Spades,1278,77"
"Ace of Diamonds | King of Hearts,811,152"
"Ten of Hearts | Six of Spades,839,74"
"Three of Diamonds | Three of Hearts,428,47"
"Queen of Hearts | Two of Clubs,1256,78"
"Ten of Spades | Seven of Clubs,1236,120"
"Four of Clubs | Four of Hearts,606,63"
