"3354000,1404"
"Jack of Hearts | Ten of Hearts,15236,2730"
"Jack of Diamonds | Three of Hearts,15342,1444"
"Eight of Clubs | Three of Hearts,24178,1825"
"Six of Diamonds | Three of Clubs,24286,2000"
"Jack of Spades | Six of Clubs,24426,2391"
"Ten of Clubs | Three of Hearts,24456,2437"
"Queen of Hearts | Two of Clubs,24280,2127"
"King of Hearts | Five of Spades,15382,1762"
"Jack of Clubs | Five of Spades,24373,2798"
"Queen of Diamonds | Eight of Clubs,24206,3039"
"Nine of Diamonds | Eight of Clubs,24602,3178"
"Jack of Spades | Eight of Hearts,15234,1981"
"Ace of Spades | King of Spades,15261,3424"
"Queen of Hearts | Six of Diamonds,15152,1719"
"Four of Hearts | Four of Clubs,11977,1449"
"Queen of Diamonds | Nine of Diamonds,15415,2480"
"Ace of Spades | Six of Clubs,24541,3187"
"Jack of Spades | Seven of Spades,15388,2146"
"Ten of Clubs | Eight of Spades,24316,3429"
"Seven of Spades | Four of Clubs,24407,2116"
"Ace of Clubs | Six of Diamonds,24391,4139"
"Ace of Diamonds | Three of Spades,15176,2043"
"Ace of Spades | Seven of Spades,15354,2449"
"King of Diamonds | Six of Clubs,24381,2839"
"Four of Diamonds | Four of Spades,7725,1172"
"Jack of Spades | Two of Spades,15431,1755"
"Nine of Spades | Six of Clubs,24265,2510"
"Ace of Hearts | Five of Hearts,15428,2465"
"Queen of Diamonds | Ten of Hearts,15220,2444"
"Six of Spades | Two of Clubs,24471,1646"
"Ace of Diamonds | Queen of Diamonds,15358,3268"
"Eight of Hearts | Three of Diamonds,15426,1246"
"Ten of Hearts | Two of Clubs,24635,1978"
"King of Clubs | Three of Clubs,39227,9526"
"King of Spades | King of Diamonds,7682,2405"
"King of Clubs | Jack of Diamonds,24296,4928"
"Queen of Spades | Two of Hearts,15485,1490"
"Eight of Diamonds | Three of Diamonds,15381,1508"
"Ace of Clubs | Nine of Spades,24524,4436"
"Nine of Spades | Four of Hearts,15496,1274"
"Ace of Clubs | Four of Clubs,39418,10907"
"Seven of Diamonds | Four of Diamonds,15311,1781"
"Seven of Diamonds | Five of Hearts,15311,1603"
"Jack of Diamonds | Jack of Clubs,12155,2822"
"Five of Spades | Five of Clubs,12208,1538"
"Seven of Spades | Six of Clubs,24289,2600"
"Seven of Hearts | Two of Hearts,15521,1523"
"King of Spades | Three of Spades,15401,2052"
"Two of Clubs | Two of Hearts,12449,1425"
"Ace of Clubs | Eight of Diamonds,24624,4429"
"Ace of Hearts | Two of Diamonds,15661,1927"
"Six of Spades | Five of Clubs,24217,2558"
"King of Clubs | Five of Clubs,39039,9561"
"Eight of Hearts | Five of Hearts,15414,1858"
"Jack of Diamonds | Ten of Spades,15353,2493"
"Ten of Spades | Eight of Diamonds,15262,2015"
"King of Clubs | Ten of Spades,24305,4728"
"Ten of Diamonds | Five of Spades,15465,1523"
"King of Hearts | Jack of Diamonds,15465,2702"
"Jack of Hearts | Nine of Spades,15323,2218"
"Ace of Hearts | Queen of Clubs,24208,5162"
"Ace of Clubs | Three of Clubs,39183,10727"
"Ace of Clubs | Five of Hearts,24631,4438"
"Three of Diamonds | Two of Hearts,15299,1183"
"Four of Clubs | Three of Clubs,39239,6668"
"King of Diamonds | King of Spades,7601,2413"
"Five of Diamonds | Five of Hearts,7652,1226"
"Eight of Clubs | Seven of Hearts,24430,2935"
"Ace of Spades | Nine of Clubs,24461,3639"
"Three of Diamonds | Three of Hearts,7674,1143"
"Three of Spades | Two of Diamonds,15362,1163"
"Jack of Hearts | Jack of Diamonds,7750,1890"
"Six of Clubs | Five of Hearts,24346,2567"
"Jack of Hearts | Seven of Hearts,15291,1995"
"King of Diamonds | Six of Spades,15466,1904"
"Jack of Diamonds | Nine of Hearts,15266,2143"
"Seven of Hearts | Seven of Spades,7720,1345"
"Jack of Hearts | Seven of Clubs,24466,2688"
"Ace of Clubs | Queen of Hearts,24510,5739"
"Ace of Hearts | Three of Clubs,24539,3117"
"Five of Hearts | Two of Hearts,15481,1669"
"Jack of Spades | Ten of Clubs,24625,4242"
"Eight of Clubs | Four of Diamonds,24290,2181"
"Ace of Diamonds | Two of Hearts,15154,1984"
"Ace of Diamonds | King of Hearts,15298,3112"
"Four of Clubs | Four of Hearts,12479,1521"
"King of Hearts | Ten of Spades,15311,2531"
"Five of Spades | Three of Spades,15383,1812"
"Eight of Diamonds | Four of Clubs,24521,1961"
"Nine of Diamonds | Five of Clubs,24575,2217"
"Eight of Spades | Five of Hearts,15279,1525"
"Ten of Hearts | Three of Spades,15483,1387"
"Ace of Hearts | Queen of Diamonds,15437,2991"
"Ace of Spades | Five of Diamonds,15331,2086"
"Jack of Clubs | Two of Spades,24415,2586"
"King of Hearts | Seven of Spades,15506,1995"
"Nine of Spades | Two of Spades,15438,1564"
"King of Diamonds | Two of Hearts,15531,1605"
"King of Clubs | Ten of Hearts,24537,4863"
"Ace of Clubs | Four of Hearts,24487,4298"
"Jack of Clubs | Ten of Spades,24530,4360"
"Queen of Diamonds | Seven of Diamonds,15295,2090"
"Queen of Hearts | Five of Hearts,15224,1989"
"Seven of Clubs | Two of Clubs,39012,6186"
"King of Hearts | Jack of Hearts,15553,2992"
"Nine of Hearts | Three of Diamonds,15443,1301"
"Seven of Spades | Five of Spades,15340,1901"
"King of Spades | Nine of Clubs,24248,3525"
"Seven of Spades | Seven of Hearts,7700,1281"
"Ten of Clubs | Seven of Hearts,24345,3098"
"Three of Clubs | Two of Clubs,38887,6244"
"Jack of Clubs | Four of Hearts,24008,2716"
"Five of Hearts | Four of Spades,15352,1638"
"Ace of Hearts | Two of Clubs,24441,2835"
"Two of Clubs | Two of Diamonds,12495,1375"
"Four of Hearts | Four of Diamonds,7597,1108"
"Ten of Spades | Four of Hearts,15278,1370"
"Ten of Hearts | Five of Clubs,24473,2292"
"Ten of Hearts | Nine of Spades,15262,2176"
"Ace of Spades | Eight of Spades,15352,2520"
"Queen of Diamonds | Seven of Clubs,24473,2687"
"Ace of Clubs | Jack of Hearts,24681,5347"
"Jack of Spades | Two of Hearts,15686,1410"
"King of Hearts | Queen of Clubs,24605,5074"
"Ace of Spades | Ace of Diamonds,7584,2723"
"Ten of Hearts | Seven of Spades,15398,1830"
"Queen of Spades | Ten of Hearts,15138,2414"
"King of Clubs | Four of Spades,24579,3505"
"King of Spades | Seven of Diamonds,15410,1947"
"Nine of Diamonds | Four of Hearts,15453,1395"
"Queen of Clubs | Two of Diamonds,24699,2846"
"Six of Hearts | Six of Diamonds,7661,1250"
"Eight of Hearts | Four of Spades,15498,1322"
"Jack of Hearts | Four of Hearts,15488,1848"
"Four of Diamonds | Three of Spades,15566,1440"
"Ten of Clubs | Two of Spades,24343,2258"
"Ace of Spades | Eight of Hearts,15378,2228"
"Queen of Diamonds | Ten of Spades,15397,2428"
"Ten of Clubs | Ten of Hearts,12372,2518"
"Jack of Diamonds | Six of Diamonds,15265,1951"
"Ace of Diamonds | Five of Hearts,15273,2132"
"Ace of Clubs | Ace of Hearts,12263,4750"
"Ace of Clubs | Ten of Clubs,39043,11967"
"Queen of Spades | Three of Diamonds,15687,1599"
"Nine of Spades | Three of Clubs,24154,1777"
"King of Hearts | Six of Hearts,15089,2025"
"Nine of Clubs | Nine of Spades,12345,2144"
"Seven of Hearts | Seven of Diamonds,7870,1342"
"Jack of Hearts | Ten of Clubs,24388,4213"
"King of Clubs | Two of Hearts,24002,3221"
"Ten of Clubs | Two of Hearts,24463,2268"
"Queen of Hearts | Nine of Diamonds,15369,2184"
"Three of Hearts | Three of Diamonds,7852,1181"
"Queen of Spades | Eight of Diamonds,15384,1994"
"Queen of Hearts | Three of Hearts,15365,1860"
"Ten of Spades | Three of Clubs,24508,2049"
"Seven of Clubs | Two of Spades,24526,1794"
"Ten of Clubs | Six of Diamonds,24150,2744"
"Ten of Diamonds | Six of Clubs,24485,2496"
"King of Hearts | Two of Hearts,15581,2011"
"Queen of Spades | Five of Diamonds,15526,1632"
"Five of Hearts | Two of Spades,15395,1287"
"Ten of Diamonds | Seven of Diamonds,15259,2148"
"Nine of Hearts | Six of Hearts,15333,1902"
"Six of Diamonds | Four of Spades,15264,1546"
"Seven of Spades | Five of Hearts,15556,1618"
"Nine of Hearts | Eight of Spades,15386,1993"
"Four of Spades | Two of Spades,15415,1538"
"Jack of Clubs | Ten of Diamonds,24372,4311"
"Six of Spades | Five of Hearts,15586,1684"
"Nine of Spades | Five of Diamonds,15293,1429"
"Nine of Clubs | Four of Spades,24288,2235"
"Two of Spades | Two of Diamonds,7506,1108"
"Five of Clubs | Three of Diamonds,24301,2254"
"Ten of Diamonds | Five of Clubs,24644,2182"
"Queen of Hearts | Six of Clubs,24508,2624"
"King of Clubs | King of Diamonds,12468,4012"
"Ace of Hearts | Eight of Hearts,15233,2474"
"Ace of Clubs | Seven of Clubs,39238,10899"
"Ten of Spades | Three of Spades,15011,1665"
"Ace of Diamonds | Ace of Clubs,12101,4676"
"Queen of Hearts | Two of Spades,15148,1498"
"Ace of Spades | Jack of Spades,15414,3119"
"Six of Spades | Two of Hearts,15329,1165"
"Ten of Clubs | Four of Clubs,39258,7744"
"Eight of Diamonds | Six of Hearts,15430,1657"
"Nine of Diamonds | Seven of Diamonds,15582,2114"
"Queen of Clubs | Nine of Clubs,39204,10044"
"Five of Hearts | Two of Clubs,24626,1922"
"Jack of Hearts | Two of Clubs,24541,2028"
"Nine of Diamonds | Two of Hearts,15411,1226"
"Ace of Clubs | Three of Spades,24527,4129"
"Ace of Clubs | Two of Spades,24516,3903"
"Ten of Spades | Eight of Clubs,24798,3271"
"Queen of Spades | Jack of Clubs,24332,4541"
"King of Hearts | Nine of Diamonds,15371,2245"
"Queen of Clubs | Six of Clubs,39200,9070"
"King of Clubs | Queen of Hearts,24452,5103"
"Jack of Spades | Four of Spades,15214,1719"
"Jack of Clubs | Nine of Clubs,39311,9864"
"King of Clubs | Three of Spades,24449,3368"
"Jack of Clubs | Six of Clubs,38958,8345"
"Ace of Diamonds | Ten of Diamonds,15590,3023"
"Queen of Spades | Ten of Clubs,24381,4156"
"Ace of Clubs | Queen of Spades,24254,5544"
"Ten of Spades | Three of Hearts,15404,1405"
"Jack of Diamonds | Jack of Spades,7714,1854"
"Eight of Clubs | Three of Diamonds,24460,1869"
"Ace of Diamonds | Seven of Diamonds,15081,2407"
"King of Diamonds | Seven of Spades,15192,1908"
"Nine of Clubs | Seven of Clubs,38904,8256"
"Ace of Hearts | Nine of Clubs,24389,3657"
"Seven of Spades | Two of Clubs,24583,1557"
"Nine of Spades | Five of Spades,15429,1812"
"Ten of Hearts | Three of Clubs,24472,2124"
"Three of Clubs | Three of Hearts,12403,1510"
"King of Diamonds | Ten of Diamonds,15453,2794"
"Jack of Diamonds | Two of Hearts,15451,1390"
"Ten of Spades | Seven of Spades,15434,2139"
"Seven of Hearts | Six of Hearts,15363,1997"
"Seven of Diamonds | Five of Clubs,24355,2473"
"Ace of Spades | Two of Hearts,15442,2045"
"Ten of Hearts | Three of Diamonds,15428,1396"
"Ace of Hearts | Five of Clubs,24405,3301"
"King of Clubs | Five of Diamonds,24375,3488"
"Ace of Spades | Ten of Diamonds,15429,2567"
"Seven of Clubs | Five of Spades,24380,2490"
"Four of Diamonds | Three of Hearts,15184,1357"
"Four of Hearts | Two of Hearts,15314,1564"
"Nine of Hearts | Seven of Clubs,24324,2821"
"Seven of Hearts | Five of Clubs,24437,2426"
"Five of Diamonds | Two of Hearts,15586,1323"
"Jack of Clubs | Four of Diamonds,24514,2675"
"King of Spades | Queen of Spades,15646,3206"
"Ten of Diamonds | Eight of Spades,15241,1960"
"King of Clubs | Seven of Spades,24861,3717"
"Ten of Spades | Ten of Hearts,7697,1727"
"King of Diamonds | Five of Diamonds,15353,2201"
"Queen of Hearts | Four of Hearts,15435,1964"
"Seven of Hearts | Five of Hearts,15274,1874"
"Jack of Hearts | Six of Spades,15433,1622"
"Ten of Spades | Three of Diamonds,15345,1364"
"Ace of Spades | Three of Diamonds,15298,1987"
"Jack of Hearts | Three of Hearts,15624,1835"
"Five of Hearts | Five of Spades,7602,1187"
"Queen of Spades | Six of Diamonds,15337,1738"
"King of Hearts | Eight of Spades,15465,1879"
"Nine of Clubs | Six of Clubs,39457,7926"
"Seven of Spades | Two of Diamonds,15405,1074"
"Jack of Spades | Seven of Clubs,24362,2821"
"Queen of Hearts | Ten of Diamonds,15220,2531"
"King of Clubs | King of Spades,12167,3926"
"Jack of Hearts | Two of Hearts,15373,1790"
"Ace of Hearts | Five of Diamonds,15529,2159"
"Queen of Clubs | Five of Clubs,39101,8857"
"Ten of Hearts | Two of Diamonds,15376,1354"
"Eight of Hearts | Five of Diamonds,15220,1508"
"Queen of Clubs | Five of Hearts,24493,3074"
"Queen of Diamonds | Four of Diamonds,15437,1929"
"Queen of Spades | Five of Hearts,15243,1676"
"King of Spades | Three of Clubs,24561,2652"
"Queen of Diamonds | Three of Diamonds,15596,1923"
"Queen of Clubs | Eight of Spades,24223,3486"
"Ten of Clubs | Four of Spades,24368,2497"
"Ten of Diamonds | Two of Spades,15414,1367"
"Nine of Hearts | Three of Spades,15460,1226"
"Jack of Diamonds | Four of Clubs,24664,2186"
"Eight of Spades | Two of Diamonds,15458,1186"
"King of Diamonds | Queen of Diamonds,15420,3041"
"King of Spades | Eight of Hearts,15627,2026"
"Ace of Diamonds | Three of Diamonds,15190,2336"
"Queen of Diamonds | Ten of Diamonds,15554,2787"
"Ten of Hearts | Four of Spades,15132,1416"
"Nine of Spades | Two of Clubs,24637,1701"
"Seven of Diamonds | Six of Clubs,24624,2837"
"Ace of Spades | Six of Spades,15273,2332"
"Ten of Hearts | Six of Clubs,24417,2516"
"Six of Diamonds | Three of Hearts,15496,1339"
"Six of Diamonds | Four of Diamonds,15505,1915"
"Four of Spades | Two of Diamonds,15199,1330"
"Ten of Hearts | Eight of Clubs,24346,3164"
"Six of Clubs | Four of Diamonds,24291,2390"
"Nine of Spades | Seven of Clubs,24153,2770"
"Queen of Diamonds | Queen of Hearts,7535,2063"
"Eight of Hearts | Two of Spades,15242,1176"
"Jack of Diamonds | Ten of Hearts,15322,2504"
"Nine of Hearts | Two of Hearts,15365,1564"
"King of Hearts | Four of Diamonds,15285,1719"
"Five of Clubs | Two of Diamonds,24464,1972"
"Four of Clubs | Three of Spades,24685,2130"
"Ace of Clubs | Six of Spades,24434,4192"
"Queen of Spades | Seven of Hearts,15368,1795"
"Ace of Hearts | Six of Clubs,24355,3182"
"Ten of Diamonds | Eight of Diamonds,15543,2351"
"Queen of Clubs | Ten of Diamonds,24593,4541"
"King of Spades | Two of Spades,15410,1998"
"King of Spades | Ten of Diamonds,15429,2556"
"Five of Diamonds | Three of Spades,15166,1503"
"Seven of Clubs | Two of Diamonds,24386,1723"
"Four of Hearts | Three of Spades,15412,1394"
"Five of Clubs | Four of Diamonds,24325,2536"
"Nine of Clubs | Five of Diamonds,24359,2402"
"Nine of Clubs | Three of Hearts,24265,2012"
"Jack of Hearts | Ten of Diamonds,15333,2465"
"Four of Spades | Three of Diamonds,15189,1438"
"Eight of Spades | Three of Spades,15203,1493"
"Ten of Diamonds | Seven of Hearts,15455,1818"
"Ace of Hearts | Three of Hearts,15260,2377"
"Seven of Diamonds | Seven of Clubs,12006,1766"
"Nine of Diamonds | Two of Clubs,24462,1715"
"Ace of Clubs | Five of Clubs,39330,10902"
"King of Diamonds | Eight of Clubs,24473,3214"
"Eight of Spades | Seven of Diamonds,15334,1816"
"Queen of Hearts | Seven of Diamonds,15564,1786"
"Queen of Diamonds | Three of Hearts,15234,1502"
"Five of Clubs | Three of Hearts,24656,2305"
"Nine of Hearts | Four of Clubs,24216,1889"
"King of Hearts | King of Diamonds,7891,2437"
"Seven of Diamonds | Six of Hearts,15395,1795"
"Ace of Spades | Five of Hearts,15175,2087"
"Queen of Diamonds | Four of Clubs,24481,2396"
"Ace of Diamonds | Jack of Clubs,24232,4716"
"Seven of Hearts | Four of Hearts,15284,1781"
"Queen of Spades | Ten of Diamonds,15508,2522"
"Ten of Spades | Ten of Clubs,11977,2443"
"Eight of Spades | Four of Diamonds,15519,1365"
"Eight of Diamonds | Eight of Hearts,7708,1421"
"King of Hearts | Ten of Clubs,24771,4291"
"Nine of Clubs | Two of Hearts,24196,1920"
"Queen of Diamonds | Six of Spades,15276,1755"
"Queen of Clubs | Six of Spades,24363,3200"
"King of Clubs | Two of Clubs,38880,9237"
"Ten of Hearts | Four of Clubs,24446,2058"
"Queen of Clubs | Five of Spades,24398,3078"
"Ten of Diamonds | Two of Hearts,15174,1349"
"Ace of Hearts | Ace of Diamonds,7637,2784"
"Queen of Clubs | Queen of Hearts,12384,3465"
"Jack of Diamonds | Seven of Clubs,24413,2725"
"Ace of Diamonds | Five of Clubs,24616,3303"
"Ace of Spades | Four of Spades,15350,2434"
"Eight of Diamonds | Eight of Spades,7850,1476"
"Nine of Spades | Two of Diamonds,15506,1129"
"Seven of Diamonds | Five of Spades,15437,1617"
"Six of Clubs | Two of Hearts,24415,1785"
"Ace of Clubs | Two of Hearts,24489,4038"
"King of Spades | Six of Spades,15577,2230"
"Eight of Spades | Six of Clubs,24614,2674"
"Queen of Clubs | Five of Diamonds,24514,3140"
"Ten of Spades | Five of Diamonds,15354,1484"
"Jack of Diamonds | Two of Clubs,24433,2030"
"Nine of Hearts | Nine of Diamonds,7667,1439"
"Ace of Hearts | Four of Diamonds,15274,2005"
"Jack of Hearts | Four of Diamonds,15315,1510"
"Ace of Hearts | Six of Hearts,15581,2419"
"King of Spades | King of Clubs,12075,3885"
"Jack of Clubs | Ten of Clubs,39111,10670"
"Ace of Spades | Nine of Spades,15546,2571"
"Seven of Diamonds | Four of Hearts,15291,1522"
"King of Hearts | Three of Clubs,24465,2531"
"King of Hearts | Seven of Diamonds,15328,1927"
"Six of Hearts | Two of Diamonds,15343,1222"
"Two of Spades | Two of Hearts,7595,1063"
"Ten of Hearts | Seven of Hearts,15384,2127"
"Ace of Hearts | Eight of Diamonds,15388,2179"
"Jack of Hearts | Three of Clubs,24731,2167"
"Jack of Clubs | Seven of Spades,24509,3190"
"Queen of Spades | Eight of Clubs,24580,3121"
"Six of Hearts | Four of Hearts,15236,1801"
"Ten of Hearts | Five of Hearts,15468,1815"
"Ace of Hearts | Ten of Hearts,15362,2876"
"Nine of Clubs | Eight of Hearts,24439,3184"
"Eight of Clubs | Three of Spades,24508,1911"
"Ten of Diamonds | Six of Spades,15506,1605"
"Queen of Hearts | Seven of Spades,15109,1747"
"Ace of Spades | Queen of Diamonds,15454,2953"
"Nine of Hearts | Five of Clubs,24559,2224"
"Ten of Clubs | Five of Clubs,39359,7727"
"Jack of Spades | Seven of Diamonds,15577,1807"
"Seven of Spades | Four of Hearts,15288,1393"
"Six of Diamonds | Four of Clubs,24347,2305"
"Ace of Clubs | Six of Hearts,24526,4169"
"King of Clubs | Eight of Clubs,39213,10129"
"Four of Hearts | Two of Clubs,24236,1694"
"King of Clubs | Three of Hearts,24479,3262"
"King of Spades | Seven of Clubs,24197,3032"
"Jack of Spades | Nine of Hearts,15441,2189"
"King of Spades | Nine of Hearts,15106,2172"
"Jack of Diamonds | Ten of Clubs,24481,4259"
"Seven of Spades | Two of Hearts,15094,1132"
"Four of Clubs | Two of Clubs,39094,6407"
"Queen of Diamonds | Five of Spades,15280,1678"
"Ten of Clubs | Seven of Clubs,39168,8574"
"Seven of Hearts | Four of Diamonds,15483,1427"
"Ace of Diamonds | Three of Clubs,24372,3052"
"King of Spades | Four of Diamonds,15360,1759"
"Queen of Spades | Five of Clubs,24689,2591"
"Seven of Clubs | Six of Hearts,24500,2798"
"Ten of Diamonds | Seven of Spades,15315,1852"
"Jack of Diamonds | Jack of Hearts,7593,1868"
"Queen of Clubs | Jack of Spades,24395,4626"
"Nine of Diamonds | Three of Hearts,15471,1279"
"Nine of Diamonds | Nine of Hearts,7640,1539"
"King of Spades | King of Hearts,7622,2385"
"Nine of Diamonds | Seven of Clubs,24568,2935"
"Nine of Hearts | Seven of Spades,15369,1805"
"Eight of Clubs | Five of Diamonds,24268,2466"
"Ace of Hearts | Two of Spades,15252,1864"
"Eight of Clubs | Six of Diamonds,24659,2739"
"Three of Hearts | Three of Spades,7786,1174"
"King of Hearts | Seven of Hearts,15208,2326"
"Nine of Hearts | Five of Hearts,15350,1725"
"Three of Hearts | Two of Hearts,15308,1479"
"Nine of Diamonds | Five of Diamonds,15354,1844"
"Seven of Clubs | Six of Diamonds,24592,2753"
"Ten of Spades | Four of Diamonds,15513,1453"
"Queen of Diamonds | Queen of Clubs,12072,3275"
"Queen of Spades | Queen of Clubs,11872,3280"
"Eight of Hearts | Six of Clubs,24899,2618"
"Eight of Hearts | Three of Spades,15470,1199"
"Three of Diamonds | Three of Spades,7818,1145"
"Nine of Diamonds | Eight of Diamonds,15285,2316"
"Seven of Diamonds | Six of Diamonds,15181,1998"
"Queen of Clubs | Queen of Diamonds,12183,3305"
"Nine of Hearts | Eight of Clubs,24665,3211"
"King of Spades | Two of Clubs,24554,2432"
"Nine of Hearts | Five of Diamonds,15324,1437"
"Ace of Hearts | Six of Diamonds,15306,2082"
"Six of Diamonds | Five of Hearts,15184,1672"
"Seven of Clubs | Seven of Spades,12415,1818"
"King of Hearts | Jack of Clubs,24549,4669"
"King of Clubs | Jack of Spades,24540,4965"
"King of Diamonds | Eight of Spades,15459,1967"
"Ace of Spades | Seven of Hearts,15306,2206"
"Four of Clubs | Three of Hearts,24249,2058"
"Queen of Diamonds | Queen of Spades,7689,2190"
"Six of Hearts | Six of Spades,7631,1261"
"Five of Hearts | Five of Diamonds,7626,1157"
"King of Hearts | Ten of Hearts,15385,2858"
"Queen of Spades | Eight of Spades,15190,2222"
"Ace of Clubs | Three of Hearts,24461,4020"
"King of Spades | Three of Diamonds,15413,1698"
"Jack of Clubs | Seven of Hearts,24320,3153"
"Ace of Clubs | Four of Diamonds,24412,4098"
"Ace of Clubs | Two of Clubs,38730,10440"
"Seven of Diamonds | Four of Clubs,24340,2163"
"Four of Hearts | Three of Diamonds,15378,1400"
"Ace of Spades | Three of Clubs,24276,3076"
"Eight of Diamonds | Six of Clubs,24423,2626"
"Jack of Hearts | Jack of Spades,7598,1842"
"King of Hearts | Nine of Hearts,15502,2569"
"King of Hearts | Two of Clubs,24336,2429"
"Six of Hearts | Five of Hearts,15539,2053"
"King of Diamonds | Nine of Spades,15290,2191"
"Ace of Hearts | Eight of Clubs,24102,3392"
"Eight of Spades | Three of Diamonds,15438,1215"
"Queen of Clubs | Three of Hearts,24494,2893"
"Six of Hearts | Four of Diamonds,15337,1538"
"Jack of Spades | Jack of Diamonds,7616,1790"
"Six of Clubs | Five of Spades,24107,2559"
"Ten of Hearts | Seven of Clubs,24161,2835"
"Five of Spades | Three of Diamonds,15378,1463"
"Six of Hearts | Three of Diamonds,15365,1341"
"King of Diamonds | Two of Diamonds,15337,2022"
"Ace of Diamonds | Jack of Diamonds,15420,3040"
"Ten of Clubs | Eight of Clubs,39020,9271"
"Nine of Clubs | Five of Clubs,39343,7724"
"Seven of Hearts | Three of Diamonds,15212,1299"
"Queen of Hearts | Eight of Clubs,24453,3142"
"Queen of Spades | Four of Hearts,15315,1617"
"Nine of Spades | Two of Hearts,15216,1249"
"Eight of Clubs | Eight of Hearts,12397,1904"
"Queen of Diamonds | Six of Hearts,15301,1720"
"Nine of Spades | Seven of Diamonds,15273,1739"
"Eight of Clubs | Seven of Spades,24248,2879"
"King of Diamonds | Six of Diamonds,15410,2217"
"Jack of Diamonds | Nine of Spades,15365,2092"
"Eight of Clubs | Two of Clubs,39137,6512"
"Ten of Diamonds | Nine of Hearts,15354,2282"
"Eight of Spades | Four of Clubs,24212,2053"
"Nine of Clubs | Seven of Hearts,24747,3021"
"Ace of Diamonds | Six of Clubs,24210,3177"
"Ten of Clubs | Eight of Hearts,24367,3493"
"Queen of Clubs | Three of Clubs,39501,8618"
"Five of Diamonds | Four of Clubs,24672,2431"
"Six of Spades | Two of Diamonds,15470,1249"
"King of Spades | Nine of Diamonds,15303,2134"
"Five of Spades | Two of Clubs,24559,1896"
"Nine of Clubs | Eight of Diamonds,24230,3192"
"Ace of Diamonds | Nine of Spades,15554,2312"
"Jack of Hearts | Two of Spades,15317,1461"
"Queen of Spades | Five of Spades,15449,1932"
"Three of Spades | Two of Hearts,15457,1215"
"Nine of Diamonds | Four of Diamonds,15302,1567"
"Six of Hearts | Five of Clubs,24414,2570"
"Four of Diamonds | Three of Clubs,24279,2044"
"Queen of Spades | Four of Spades,15126,1928"
"Two of Diamonds | Two of Clubs,11844,1298"
"Ace of Spades | Six of Diamonds,15261,1975"
"King of Hearts | Five of Clubs,24463,2794"
"Ten of Spades | Nine of Clubs,24556,3624"
"Ace of Diamonds | Four of Diamonds,15539,2435"
"King of Spades | Ten of Hearts,15279,2518"
"Nine of Hearts | Nine of Clubs,12127,2136"
"Queen of Diamonds | Six of Clubs,24401,2589"
"Ten of Hearts | Two of Hearts,15350,1676"
"Ten of Hearts | Ten of Spades,7755,1659"
"King of Hearts | Six of Clubs,24321,2885"
"Six of Hearts | Two of Spades,15225,1132"
"Ace of Clubs | King of Hearts,24073,5907"
"Eight of Diamonds | Seven of Clubs,24692,2881"
"King of Spades | Ten of Clubs,24118,4233"
"Ace of Spades | Seven of Diamonds,15502,2139"
"Ace of Diamonds | Two of Diamonds,15506,2207"
"Nine of Diamonds | Eight of Spades,15226,1965"
"Queen of Hearts | Nine of Clubs,24170,3589"
"Queen of Spades | Nine of Diamonds,15259,2110"
"Eight of Hearts | Four of Diamonds,15434,1338"
"Nine of Spades | Four of Diamonds,15280,1349"
"Nine of Clubs | Five of Hearts,24340,2407"
"Eight of Hearts | Four of Hearts,15463,1679"
"Ace of Hearts | Jack of Hearts,15260,3016"
"King of Spades | Five of Spades,15407,2175"
"Ace of Spades | Ten of Clubs,24605,4385"
"Seven of Diamonds | Five of Diamonds,15619,1962"
"Eight of Diamonds | Two of Spades,15423,1152"
"Three of Spades | Three of Diamonds,7601,1145"
"Ace of Spades | Jack of Clubs,24605,4748"
"King of Diamonds | Five of Clubs,24415,2816"
"Ace of Diamonds | Two of Clubs,24458,2981"
"Ace of Hearts | King of Diamonds,15611,3188"
"Jack of Clubs | Three of Spades,24167,2468"
"Ten of Hearts | Ten of Clubs,11972,2455"
"Ace of Spades | Two of Diamonds,15443,1980"
"Nine of Clubs | Four of Clubs,39542,7166"
"Six of Spades | Three of Clubs,24433,2060"
"Four of Spades | Three of Clubs,24585,2103"
"Queen of Spades | Seven of Diamonds,15310,1755"
"Jack of Spades | Four of Diamonds,15162,1482"
"Eight of Spades | Five of Spades,15472,1881"
"King of Diamonds | Nine of Hearts,15348,2233"
"Jack of Hearts | Six of Diamonds,15592,1579"
"Six of Clubs | Four of Spades,24539,2414"
"Ace of Diamonds | King of Diamonds,15268,3418"
"Ace of Hearts | Two of Hearts,15300,2189"
"Ace of Spades | Ace of Clubs,12071,4653"
"Six of Clubs | Six of Diamonds,12187,1690"
"Ace of Diamonds | Eight of Diamonds,15552,2484"
"King of Clubs | Ten of Diamonds,24256,4654"
"Nine of Hearts | Six of Spades,15416,1601"
"King of Clubs | Ten of Clubs,38957,11443"
"Jack of Spades | Two of Diamonds,15150,1367"
"Nine of Diamonds | Five of Hearts,15477,1528"
"Seven of Spades | Five of Diamonds,15490,1672"
"Ten of Clubs | Six of Spades,24390,2714"
"Nine of Spades | Three of Hearts,15190,1305"
"Jack of Clubs | Nine of Spades,24614,3792"
"Four of Spades | Two of Clubs,24494,1769"
"Seven of Clubs | Four of Hearts,24288,2274"
"Six of Diamonds | Three of Spades,15506,1357"
"King of Diamonds | King of Clubs,12010,3821"
"Queen of Diamonds | Four of Spades,15206,1590"
